Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S5001,Omar,Brown,student4001@university.com,Male,24,CS,,98.53,59.43,69.06,53.08,0.81,70.37,99.63,B,10.5,No,Yes,Bachelor's,High,4,6.8
S5002,John,Jones,student4002@university.com,Female,20,CS,61.4,68.66,91,96.47,73.07,7.14,53.52,86.57,D,10.3,No,Yes,Bachelor's,Low,3,7.5
S5003,Omar,Smith,student4003@university.com,Female,19,CS,53.5,86.48,82.47,,56.88,1.65,85.63,57.3,D,20.2,Yes,Yes,Master's,Low,2,5.1
S5004,Maria,Smith,student4004@university.com,Male,24,Business,76.78,86.09,92.16,,82.37,7.4,57.53,63.89,B,15.9,No,Yes,,Low,5,7.5
S5005,Emma,Jones,student4005@university.com,Female,18,Business,99.52,69.85,42.79,87.89,52.36,1.41,96.35,56.6,B,26.8,Yes,Yes,PhD,Medium,2,4.1
S5006,Liam,Williams,student4006@university.com,Female,24,CS,86.9,87.74,83.25,,68.7,8.32,70.89,55.78,A,12.3,No,Yes,PhD,Low,2,6.7
S5007,Sara,Johnson,student4007@university.com,Female,21,Engineering,66.37,55.66,72.4,57.96,54.14,6.81,54.1,78.39,A,13.3,No,Yes,None,Low,8,8.2
S5008,Liam,Williams,student4008@university.com,Male,22,Mathematics,91.36,47.34,89.5,65.96,50.17,3.86,61.42,95.34,B,9.2,Yes,Yes,High School,Medium,2,7.6
S5009,Liam,Smith,student4009@university.com,Male,24,Engineering,88.45,65.51,70.43,,98.03,3.59,93.13,84.22,A,29.5,No,Yes,High School,High,8,8.3
S5010,Emma,Davis,student4010@university.com,Female,21,CS,64.08,96.62,72.41,50.91,99.81,1.49,66.05,90.03,B,7.9,No,No,High School,Low,8,4.7
S5011,Omar,Jones,student4011@university.com,Male,21,Engineering,50.72,70.04,43.11,71.87,77.78,9.04,92.82,75.4,C,29.6,No,Yes,High School,Low,1,7.6
S5012,Sara,Jones,student4012@university.com,Female,21,CS,55.91,78.12,80.11,87.79,61.95,1.19,58.61,73.77,F,22.7,Yes,Yes,Master's,Medium,5,6.3
S5013,Ali,Williams,student4013@university.com,Female,24,Engineering,93.87,77.45,56.39,58.21,95.55,4.72,73.41,96.87,A,7.2,No,Yes,None,Medium,9,5.6
