Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Performance
S1000,Omar,Williams,student0@university.com,Female,22,Engineering,52.29,55.03,64.39,84.22,74.06,3.99,85.9,56.09,C,6.2,No,Yes,High School,Medium,5,4.7,Average Performer
S1001,Maria,Brown,student1@university.com,Male,18,Engineering,97.27,97.23,91.89,,94.24,8.32,55.65,50.64,A+,19.0,No,Yes,,Medium,4,9.0,High Performer
S1002,Ahmed,Jones,student2@university.com,Male,24,Business,57.19,67.05,68.96,67.7,85.7,5.05,73.79,70.3,C,20.7,No,Yes,Master's,Low,6,6.2,Average Performer
S1003,Omar,Williams,student3@university.com,Female,24,Mathematics,95.15,47.79,77.08,66.06,93.51,6.54,92.12,61.63,B,24.8,Yes,Yes,High School,High,3,6.7,Average Performer
S1004,John,Smith,student4@university.com,Female,23,CS,54.18,46.59,63.78,96.85,83.7,5.97,68.42,66.13,C,15.4,Yes,Yes,High School,High,2,7.1,Average Performer
S1005,Liam,Brown,student5@university.com,Male,21,Engineering,,78.85,71.72,71.4,52.2,6.38,67.29,62.08,B,8.5,Yes,Yes,PhD,High,1,5.0,Average Performer
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,57.6,66.26,76.87,84.52,98.4,2.3,93.65,83.21,B,21.3,No,Yes,,Low,5,6.4,Average Performer
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,51.91,45.67,64.27,80.12,95.9,3.73,93.24,81.93,C,27.3,Yes,No,,Medium,4,4.3,Average Performer
S1008,Omar,Smith,student8@university.com,Female,21,CS,85.97,84.42,73.79,57.05,56.33,0.51,94.01,95.62,B,8.0,No,No,Bachelor's,Low,9,8.8,Average Performer
S1009,Sara,Smith,student9@university.com,Female,22,Engineering,64.01,87.96,79.36,96.98,55.63,5.88,78.6,84.99,B,9.6,No,Yes,,Medium,10,6.4,Average Performer
S1010,John,Smith,student10@university.com,Female,23,CS,85.72,83.52,78.56,67.29,76.95,4.59,97.62,58.25,B,13.2,No,Yes,High School,Low,1,4.1,Average Performer
S1011,Omar,Williams,student11@university.com,Female,20,Engineering,77.75,52.14,63.8,52.24,87.85,7.61,90.95,87.58,C,21.3,No,Yes,Master's,Low,9,7.0,Average Performer
S1012,John,Davis,student12@university.com,Male,21,Engineering,55.44,81.39,69.21,65.02,69.11,2.06,70.78,59.06,C,18.1,No,Yes,Master's,High,8,4.5,Average Performer
S1013,John,Williams,student13@university.com,Male,18,Business,96.61,40.64,59.35,66.78,56.82,4.37,81.48,77.93,D,22.8,No,Yes,,Medium,10,7.9,Needs Improvement
S1014,Liam,Williams,student14@university.com,Male,19,Engineering,72.62,58.31,59.28,54.64,75.53,1.81,56.09,53.85,D,5.8,No,Yes,,Low,4,8.8,Needs Improvement
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,86.72,63.93,72.94,81.0,66.88,6.14,77.57,52.37,B,25.3,No,Yes,,High,2,8.6,Average Performer
S1016,Maria,Jones,student16@university.com,Female,21,CS,75.05,90.11,74.62,67.34,67.59,8.48,63.16,73.21,B,29.7,No,Yes,,Low,3,6.1,Average Performer
S1017,Liam,Davis,student17@university.com,Female,23,Business,80.22,63.42,75.84,81.46,82.25,7.65,64.18,55.25,B,6.2,No,No,PhD,Medium,10,7.6,Average Performer
S1018,Liam,Jones,student18@university.com,Male,20,CS,65.14,40.68,55.27,50.34,94.28,9.44,56.29,65.33,D,17.4,No,Yes,,Medium,9,4.8,Needs Improvement
S1019,John,Johnson,student19@university.com,Male,20,Engineering,60.02,61.14,66.68,99.1,77.93,9.72,67.91,66.94,C,23.5,Yes,Yes,PhD,Low,10,4.4,Average Performer
S1020,Emma,Davis,student20@university.com,Male,18,CS,77.13,69.94,79.63,,84.38,7.72,74.07,88.47,B,16.9,No,Yes,High School,Medium,2,8.1,Average Performer
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,72.01,96.94,83.9,82.97,83.0,2.87,80.02,66.63,A,19.8,No,Yes,,Low,8,7.5,High Performer
S1022,Sara,Davis,student22@university.com,Male,22,Engineering,69.51,96.46,83.61,85.79,77.56,2.19,65.24,74.72,A,28.0,Yes,Yes,,Low,10,8.5,High Performer
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.63,50.85,60.16,58.58,65.54,4.48,89.61,88.63,C,18.5,No,Yes,Master's,Low,1,8.6,Average Performer
S1024,Maria,Williams,student24@university.com,Female,20,CS,84.53,51.11,63.07,55.59,68.89,9.94,76.05,60.24,C,10.9,Yes,Yes,High School,Low,4,5.7,Average Performer
S1025,Emma,Davis,student25@university.com,Male,18,Business,52.3,49.8,54.85,57.63,65.79,4.13,81.9,90.24,D,23.5,No,Yes,High School,High,3,5.6,Needs Improvement
S1026,Emma,Johnson,student26@university.com,Male,18,Engineering,66.94,87.34,74.05,62.34,95.87,1.99,63.91,91.59,B,14.4,No,Yes,,Low,10,6.2,Average Performer
S1027,Sara,Johnson,student27@university.com,Male,18,Business,70.59,40.36,61.81,58.41,91.33,9.44,90.71,99.44,C,12.1,Yes,Yes,,Medium,2,7.3,Average Performer
S1028,Liam,Davis,student28@university.com,Female,21,Business,54.84,47.63,59.91,83.7,78.97,3.86,81.21,72.2,D,11.2,Yes,Yes,Bachelor's,Low,3,4.0,Needs Improvement
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.8,72.28,71.51,71.04,95.61,6.91,93.12,68.53,B,7.0,No,Yes,Master's,High,3,6.7,Average Performer
S1030,Ahmed,Brown,student30@university.com,Female,22,CS,52.58,54.85,62.69,76.89,94.32,7.88,58.0,85.1,C,28.3,No,Yes,High School,Medium,9,4.1,Average Performer
S1031,Ali,Johnson,student31@university.com,Male,22,Mathematics,99.81,45.54,76.37,52.37,96.38,8.43,69.03,52.91,B,19.1,No,Yes,Bachelor's,Low,3,6.3,Average Performer
S1032,Maria,Smith,student32@university.com,Female,21,CS,,61.59,72.01,93.06,61.09,8.21,55.65,51.99,B,28.9,No,Yes,,Medium,9,4.4,Average Performer
S1033,Sara,Williams,student33@university.com,Male,19,CS,54.37,56.45,57.48,58.53,85.88,8.36,60.78,66.75,D,26.5,No,Yes,Master's,Low,4,6.8,Needs Improvement
S1034,Emma,Davis,student34@university.com,Female,21,Business,51.01,70.67,68.18,68.01,80.46,6.68,69.73,86.48,C,5.8,No,Yes,Master's,Low,1,5.6,Average Performer
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,85.96,98.75,80.41,53.6,86.69,4.04,94.73,55.82,A,11.2,No,Yes,,Medium,8,6.4,High Performer
S1036,Maria,Davis,student36@university.com,Female,18,CS,71.96,47.46,59.67,56.84,63.17,6.67,77.85,81.78,D,12.9,No,Yes,Bachelor's,Low,10,8.8,Needs Improvement
S1037,Ali,Williams,student37@university.com,Male,21,CS,89.34,62.36,72.12,83.29,84.74,8.37,66.52,63.48,B,17.2,No,Yes,,Low,5,5.7,Average Performer
S1038,Ali,Williams,student38@university.com,Male,18,Engineering,96.17,95.92,85.94,84.63,70.49,3.51,87.34,82.58,A,22.9,Yes,Yes,Master's,Medium,2,7.6,High Performer
S1039,John,Johnson,student39@university.com,Female,23,Engineering,79.97,92.61,87.52,83.85,91.7,2.97,50.98,72.85,A,22.0,No,Yes,Bachelor's,Low,9,7.4,High Performer
S1040,John,Johnson,student40@university.com,Male,24,Business,59.36,63.66,71.29,77.61,89.77,3.44,68.5,55.76,B,29.7,No,Yes,PhD,Low,7,8.3,Average Performer
S1041,Omar,Smith,student41@university.com,Male,23,Business,89.11,81.94,84.54,97.63,60.57,5.51,80.04,62.36,A,28.1,No,Yes,Bachelor's,Medium,6,5.7,High Performer
S1042,Sara,Davis,student42@university.com,Male,20,Engineering,97.79,45.27,68.79,75.36,59.19,0.52,79.16,60.99,C,9.7,No,Yes,Bachelor's,Low,2,4.3,Average Performer
S1043,Liam,Williams,student43@university.com,Male,18,CS,79.01,82.75,79.14,72.47,85.89,7.79,80.38,58.23,B,26.5,Yes,Yes,Bachelor's,High,6,8.9,Average Performer
S1044,Maria,Smith,student44@university.com,Male,22,Mathematics,84.1,98.37,79.33,62.38,77.52,1.39,60.58,73.42,B,26.1,Yes,Yes,Master's,Medium,7,5.8,Average Performer
S1045,Maria,Brown,student45@university.com,Male,21,CS,66.87,72.25,65.86,54.94,77.86,1.33,66.85,97.73,C,19.4,No,Yes,,Low,5,5.0,Average Performer
S1046,Liam,Smith,student46@university.com,Male,24,CS,,69.91,74.43,77.41,87.63,1.98,96.58,82.9,B,13.5,No,Yes,Master's,Low,5,8.6,Average Performer
S1047,Omar,Jones,student47@university.com,Female,23,CS,86.73,51.24,74.18,65.74,92.75,5.77,98.7,91.8,B,10.2,No,Yes,Master's,High,4,5.0,Average Performer
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,96.39,78.03,81.79,76.2,61.95,2.86,65.6,99.05,A,10.3,No,Yes,Master's,Medium,10,6.6,High Performer
S1049,Emma,Jones,student49@university.com,Male,24,CS,81.45,75.43,69.28,60.31,77.78,3.68,82.23,77.03,C,13.4,No,Yes,Master's,Low,1,7.8,Average Performer
S1050,Omar,Jones,student50@university.com,Female,19,CS,89.49,79.12,87.61,91.91,91.45,9.32,62.06,61.9,A,17.6,No,Yes,,Low,10,7.7,High Performer
S1051,Emma,Jones,student51@university.com,Female,20,CS,58.58,41.56,65.01,99.98,93.64,8.47,68.43,96.39,C,19.6,Yes,Yes,PhD,Medium,7,4.1,Average Performer
