Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Performance
S3000,Omar,Davis,student2000@university.com,Male,24,Engineering,58.61,53.43,63.01,75.4,91.12,2.25,65.26,73.03,C,23.9,No,Yes,,Low,1,5.7,Average Performer
S3001,Maria,Jones,student2001@university.com,Female,24,CS,74.31,96.12,81.46,86.32,57.99,8.51,66.4,93.95,A,20.4,No,Yes,High School,Medium,8,7.3,High Performer
S3002,Emma,Brown,student2002@university.com,Male,23,Engineering,86.7,65.95,74.79,67.48,97.21,0.65,84.85,75.26,B,14.4,No,Yes,PhD,Low,1,4.7,Average Performer
S3003,Liam,Williams,student2003@university.com,Male,19,Business,88.7,42.52,68.64,87.44,70.54,4.07,63.54,97.05,C,12.7,No,Yes,Bachelor's,High,1,6.4,Average Performer
S3004,Liam,Williams,student2004@university.com,Female,18,CS,89.23,48.33,66.34,71.92,93.02,7.48,64.3,57.39,C,24.7,No,Yes,Bachelor's,Low,2,5.4,Average Performer
S3005,John,Brown,student2005@university.com,Male,23,CS,61.41,44.74,55.59,58.59,61.02,0.04,78.52,64.01,D,19.9,No,Yes,Master's,Low,5,8.6,Needs Improvement
S3006,Liam,Williams,student2006@university.com,Female,20,CS,59.63,75.33,62.88,54.53,51.45,8.78,59.67,82.83,C,5.9,Yes,No,,High,4,8.1,Average Performer
S3007,Omar,Smith,student2007@university.com,Male,22,Engineering,79.5,51.2,68.23,85.53,78.67,7.06,68.24,64.16,C,5.5,No,Yes,,Medium,4,6.4,Average Performer
S3008,Ahmed,Williams,student2008@university.com,Male,21,Business,87.05,69.91,76.35,69.29,66.23,0.73,52.9,67.36,B,26.0,No,Yes,PhD,Medium,1,6.3,Average Performer
S3009,Ali,Williams,student2009@university.com,Female,24,CS,65.96,62.2,78.38,95.64,99.22,8.95,97.63,95.05,B,7.2,Yes,Yes,,High,1,8.2,Average Performer
S3010,Omar,Brown,student2010@university.com,Female,20,Engineering,,88.23,72.46,77.01,55.22,4.87,65.87,76.93,B,18.0,Yes,Yes,PhD,High,10,7.5,Average Performer
S3011,Ahmed,Brown,student2011@university.com,Female,22,Mathematics,85.84,59.23,65.53,67.42,52.37,6.52,92.5,66.73,C,20.2,No,Yes,Master's,High,2,7.4,Average Performer
S3012,Emma,Williams,student2012@university.com,Female,24,CS,64.98,67.5,62.14,67.45,52.25,8.82,76.5,88.84,C,27.9,No,Yes,High School,High,2,6.7,Average Performer
S3013,Liam,Johnson,student2013@university.com,Male,19,Engineering,58.32,83.28,64.26,56.57,60.84,8.81,61.41,53.53,C,17.9,Yes,Yes,,Low,1,8.3,Average Performer
S3014,Emma,Brown,student2014@university.com,Female,24,Mathematics,57.39,66.0,70.59,79.69,78.96,4.09,59.67,78.18,B,9.9,Yes,Yes,Bachelor's,Medium,10,4.9,Average Performer
S3015,Liam,Jones,student2015@university.com,Male,18,Mathematics,65.75,87.59,76.91,79.11,75.28,2.38,84.75,54.98,B,11.5,Yes,Yes,,Medium,8,8.3,Average Performer
S3016,Ali,Jones,student2016@university.com,Male,18,CS,79.63,79.7,79.12,90.0,67.5,2.57,98.24,58.84,B,6.2,No,Yes,Bachelor's,Medium,3,6.6,Average Performer
S3017,Sara,Smith,student2017@university.com,Male,22,CS,67.92,64.63,57.16,60.06,54.44,7.66,59.15,53.12,D,10.6,No,Yes,Bachelor's,Medium,8,7.1,Needs Improvement
S3018,Ali,Williams,student2018@university.com,Male,20,CS,51.03,70.24,63.96,64.54,61.69,9.29,55.77,95.08,C,25.4,No,Yes,,High,5,8.8,Average Performer
